index,nctId,claim,PMID,article_title,article_abstract,label,outcome_type,outcome_title,outcome_description,intervention_group_title,comparator_group_title,intervention_group_description,comparator_group_description,intervention_group_intervention_label,comparator_group_intervention_label,intervention_group_arm_group_type,comparator_group_arm_group_type,pValues,statisticalMethods,nonInferiorityTypes,Publication Date
3475,NCT00511355,NOMAC-E2 is superior or other to LNG-EE in terms of Serum Concentration of Corticosteroid Binding Globulin (CBG) Baseline to Cycle 6 (between Days 15 and 21 of the cycle),22066891,"Effects of a monophasic combined oral contraceptive containing nomegestrol acetate and 17β-oestradiol compared with one containing levonorgestrel and ethinylestradiol on haemostasis, lipids and carbohydrate metabolism.","OBJECTIVES: To compare the effects of a combined oral contraceptive (COC) containing nomegestrol acetate and 17β-oestradiol (NOMAC/E2) on haemostasis, lipids, carbohydrate metabolism, C-reactive protein (CRP) and sex hormone-binding globulin (SHBG) with those of a COC containing levonorgestrel and ethinylestradiol (LNG/EE).
METHODS: In a randomised, open-label study, 121 healthy women, 18-50 years of age, were randomly assigned to receive NOMAC/E2 (2.5 mg/1.5 mg) in a 24/4-day regimen (n=60) or LNG/EE (150 μg/30 μg) in a 21/7-day regimen (n=61) for six cycles. The primary outcome was the change from baseline to cycle 6 for all indices.
RESULTS: All parameters were similar at baseline between the two groups. Over six cycles, NOMAC/E2 had less effect on most haemostatic indices than LNG/EE. Lipids were essentially unchanged with NOMAC/E2, whereas with LNG/EE high-density lipoprotein cholesterol decreased and low-density lipoprotein cholesterol and triglycerides slightly increased. NOMAC/E2 induced negligible changes in glucose and insulin parameters, in contrast to LNG/EE. A much smaller increase in CRP was observed with NOMAC/E2 than with LNG/EE. NOMAC/E2 was associated with a greater increase in SHBG.
CONCLUSIONS: The monophasic COC NOMAC/E2 had less influence on haemostasis, lipids and carbohydrate metabolism than the COC LNG/EE.",1,PRIMARY,Serum Concentration of Corticosteroid Binding Globulin (CBG),Serum samples were obtained under fasting conditions (no food or alcoholic beverages within 12 hours of serum sampling). Each cycle consists of 28 days.,NOMAC-E2,LNG-EE,"Monophasic combined oral contraceptive (COC) tablets containing 2.5 mg Nomegestrol Acetate (NOMAC) and 1.5 mg Estradiol (E2) taken once daily from Day 1 of menstrual period up to and including Day 28 (Days 1-24, active tablets; Days 25-28, placebo tablets) for 6 consecutive 28-day cycles.","Monophasic combined oral contraceptive (COC) tablets containing 0.150 mg levonorgestrel (LNG) and 0.030 mg

ethinylestradiol (EE) taken once daily from Day 1 of menstrual period up to and including Day 28 (Days 1-21, active tablets; Days 22-28 placebo tablets) for 6 consecutive 28-day cycles.",DRUG,DRUG,EXPERIMENTAL,ACTIVE_COMPARATOR,['<.0001'],['Cochran-Mantel-Haenszel'],['Superiority or Other'],2011-Dec-N/A
9001,NCT02027428,Nab-Paclitaxel + Best Supportive Care (BSC) is superior to Best Supportive Care (BSC) in terms of Kaplan-Meier Estimate of Progression-Free Survival (PFS) From Randomization Into Maintenance From the date of randomization to the date of disease progression or death of any cause; up to data cut off date of 15 September 2017; up to 27.6 months,30481287,OPTIMA: a phase II dose and volume de-escalation trial for human papillomavirus-positive oropharyngeal cancer.,"BACKGROUND: Patients with HPV+ oropharyngeal squamous cell carcinoma were assigned to dose and volume de-escalated radiotherapy (RT) or chemoradiotherapy (CRT) based on response to induction chemotherapy in an effort to limit treatment-related toxicity while preserving efficacy.
PATIENTS AND METHODS: Patients were classified as low-risk (≤T3, ≤N2B, ≤10 pack-year history) or high-risk (T4 or ≥N2C or >10 PYH). After three cycles of carboplatin/nab-paclitaxel, response was assessed using Response Evaluation Criteria in Solid Tumors 1.1. Low-risk patients with ≥50% response received 50 Gray (Gy) RT (RT50) while low-risk patients with 30%-50% response or high-risk patients with ≥50% response received 45 Gy CRT (CRT45). Patients with lesser response received standard-of-care 75 Gy CRT (CRT75). RT/CRT was limited to the first echelon of uninvolved nodes. The primary end point was 2-year progression-free survival compared with a historic control of 85%. Secondary end points included overall survival and toxicity.
RESULTS: Sixty-two patients (28 low risk/34 high risk) were enrolled. Of low-risk patients, 71% received RT50 while 21% received CRT45. Of high-risk patients, 71% received CRT45. With a median follow-up of 29 months, 2-year PFS and OS were 95% and 100% for low-risk patients and 94% and 97% for high-risk patients, respectively. The overall 2-year PFS was 94.5% and within the 11% noninferiority margin for the historic control. Grade 3+ mucositis occurred in 30%, 63%, and 91% of the RT50, CRT45, and CRT75 groups, respectively (P = 0.004). Rates of any PEG-tube use were 0%, 31%, and 82% for RT50, CRT45, and CRT75 groups, respectively (P < 0.0001).
CONCLUSIONS: Induction chemotherapy with response and risk-stratified dose and volume de-escalated RT/CRT for HPV+ OPSCC is associated with favorable oncologic outcomes and reduced acute and chronic toxicity. Further evaluation of induction-based de-escalation in large multicenter studies is justified.
CLINICAL TRIAL REGISTRATION: Clinical trials.gov identifier: NCT02258659.",2,PRIMARY,Kaplan-Meier Estimate of Progression-Free Survival (PFS) From Randomization Into Maintenance,"Progression-free survival is defined as the time in months from the date of randomization to the date of disease progression based on the investigator's assessment according to Response Evaluation Criteria in Solid Tumors (RECIST) Version 1.1 criteria (documented by computerized axial tomography \[CT scan\], not including symptomatic deterioration) or death (any cause) on or prior to 01 Aug 2019. RECIST 1.1 Definition: - Complete response (CR) -disappearance of all target lesions; - Partial response (PR) -at least a 30% decrease in the sum of diameters of target lesions from baseline - Stable disease (SD) -neither sufficient shrinkage to qualify for partial response (PR) nor sufficient increase of lesions to qualify for progressive disease (PD) - Progressive Disease (PD) - At least a 20% increase in the sum of diameters of target lesions from nadir, and/or the appearance of new lesions.",Nab-Paclitaxel + Best Supportive Care (BSC),Best Supportive Care (BSC),"Maintenance Phase: Following randomization, participants in this treatment arm were administered nab-paclitaxel 100 mg/m\^2 by IV infusion over 30 minutes on Days 1 and 8 of each 21-day cycle, plus best supportive care until disease progression.","Maintenance Phase: Following randomization, participants in this treatment arm were administered best supportive care (only) until disease progression.",OTHER,OTHER,EXPERIMENTAL,OTHER,['0.3486'],['stratified log-rank test'],['Superiority'],2019-Feb-01
2351,NCT02377921,"Ace-ER 6 g/Day is superior to Placebo in terms of Change From Baseline in UEC Score (Total Force in kg) at Week 48 Baseline, Week 48",31036580,A phase 3 randomized study evaluating sialic acid extended-release for GNE myopathy.,"OBJECTIVE: To investigate the efficacy and safety of aceneuramic acid extended-release (Ace-ER), a treatment intended to replace deficient sialic acid, in patients with GNE myopathy.
METHODS: UX001-CL301 was a phase 3, double-blind, placebo-controlled, randomized, international study evaluating the efficacy and safety of Ace-ER in patients with GNE myopathy. Participants who could walk ≥200 meters in a 6-minute walk test at screening were randomized 1:1, and stratified by sex, to receive Ace-ER 6 g/d or placebo for 48 weeks and assessed every 8 weeks. The primary endpoint was change in muscle strength over 48 weeks measured by upper extremity composite (UEC) score. Key secondary endpoints included change in lower extremity composite (LEC) score, knee extensor strength, and GNE myopathy-Functional Activity Scale (GNEM-FAS) mobility domain score. Safety assessments included adverse events (AEs), vital signs, and clinical laboratory results.
RESULTS: Eighty-nine patients were randomized (Ace-ER n = 45; placebo n = 44). Change from baseline to week 48 for UEC score between treatments did not differ (least square mean [LSM] Ace-ER -2.25 kg vs placebo -2.99 kg; LSM difference confidence interval [CI] 0.74 [-1.61 to 3.09]; 
CONCLUSIONS: Ace-ER was not superior to placebo in improving muscle strength and function in patients with GNE myopathy.
CLASSIFICATION OF EVIDENCE: This study provides Class I evidence that for patients with GNE myopathy, Ace-ER does not improve muscle strength compared to placebo.",0,PRIMARY,Change From Baseline in UEC Score (Total Force in kg) at Week 48,"Muscle strength based on the maximum voluntary isometric contraction (MVIC) against a dynamometer was measured bilaterally in the following upper extremity muscle groups: gross grip, shoulder abductors, elbow flexors, and elbow extensors. The UEC is derived from the sum of the average of the right and left total force values (measured in kg).",Ace-ER 6 g/Day,Placebo,"Ace-ER 6 g/day, divided TID for 48 weeks.",Matching placebo TID for 48 weeks.,DRUG,DRUG,EXPERIMENTAL,PLACEBO_COMPARATOR,['0.5387'],['GEE model'],['Superiority'],2019-Apr-30
8018,NCT03221257,Pirfenidone (PFD) + Mycophenolate (MMF) is superior to Placebo (Plac) + Mycophenolate (MMF) in terms of Percent Predicted Forced Vital Capacity (FVC-%) Baseline to 18 months,24836312,A phase 3 trial of pirfenidone in patients with idiopathic pulmonary fibrosis.,"BACKGROUND: In two of three phase 3 trials, pirfenidone, an oral antifibrotic therapy, reduced disease progression, as measured by the decline in forced vital capacity (FVC) or vital capacity, in patients with idiopathic pulmonary fibrosis; in the third trial, this end point was not achieved. We sought to confirm the beneficial effect of pirfenidone on disease progression in such patients.
METHODS: In this phase 3 study, we randomly assigned 555 patients with idiopathic pulmonary fibrosis to receive either oral pirfenidone (2403 mg per day) or placebo for 52 weeks. The primary end point was the change in FVC or death at week 52. Secondary end points were the 6-minute walk distance, progression-free survival, dyspnea, and death from any cause or from idiopathic pulmonary fibrosis.
RESULTS: In the pirfenidone group, as compared with the placebo group, there was a relative reduction of 47.9% in the proportion of patients who had an absolute decline of 10 percentage points or more in the percentage of the predicted FVC or who died; there was also a relative increase of 132.5% in the proportion of patients with no decline in FVC (P<0.001). Pirfenidone reduced the decline in the 6-minute walk distance (P=0.04) and improved progression-free survival (P<0.001). There was no significant between-group difference in dyspnea scores (P=0.16) or in rates of death from any cause (P=0.10) or from idiopathic pulmonary fibrosis (P=0.23). However, in a prespecified pooled analysis incorporating results from two previous phase 3 trials, the between-group difference favoring pirfenidone was significant for death from any cause (P=0.01) and from idiopathic pulmonary fibrosis (P=0.006). Gastrointestinal and skin-related adverse events were more common in the pirfenidone group than in the placebo group but rarely led to treatment discontinuation.
CONCLUSIONS: Pirfenidone, as compared with placebo, reduced disease progression, as reflected by lung function, exercise tolerance, and progression-free survival, in patients with idiopathic pulmonary fibrosis. Treatment was associated with an acceptable side-effect profile and fewer deaths. (Funded by InterMune; ASCEND ClinicalTrials.gov number, NCT01366209.).",2,PRIMARY,Percent Predicted Forced Vital Capacity (FVC-%),"Change from baseline to month 18 in the mean forced vital capacity (represented as the percentage of the age-; height-; gender-; and race-adjusted predicted value, i.e. FVC-%).",Pirfenidone (PFD) + Mycophenolate (MMF),Placebo (Plac) + Mycophenolate (MMF),"Participants will receive Pirfenidone (PFD) as add-on to a background therapy of Mycophenolate Mofetil (MMF).

Pirfenidone (PFD): Participants will receive PFD titrated up to a target dose of 801 mg taken three times daily as tolerated (3-step titration occurring at 2 week intervals).

Mycophenolate Mofetil (MMF): Participants will receive MMF titrated up to a target dose of 1500 mg taken twice daily as tolerated (4-step titration occurring at monthly intervals).","Participants will receive Placebo (Plac) as add-on to a background therapy of Mycophenolate Mofetil (MMF).

Placebo (Plac): Participants will receive a Plac, matched to resemble PFD, titrated up to a target dose of 801 mg taken three times daily as tolerated (3-step titration occurring at 2 week intervals).

Mycophenolate Mofetil (MMF): Participants will receive MMF titrated up to a target dose of 1500 mg taken twice daily as tolerated (4-step titration occurring at monthly intervals).",DRUG,DRUG,EXPERIMENTAL,PLACEBO_COMPARATOR,['0.9326'],['Mixed Models Analysis'],['Superiority'],2014-May-29
6401,NCT00562159,SCH 697243 is superior or other to Placebo in terms of Participant Total Combined Symptom (TCS) Score Over the Entire Grass Pollen Season (GPS) Start of the GPS to End of the GPS,21211643,Efficacy and safety of timothy grass allergy immunotherapy tablet treatment in North American adults.,"BACKGROUND: Immunotherapy for allergic rhinoconjunctivitis (ARC) in North America is generally administered subcutaneously, but alternative formulations might be safer and more convenient. Trials of sublingual formulations in North America are needed to confirm European efficacy and safety data.
OBJECTIVE: We sought to investigate the efficacy and safety of timothy grass allergy immunotherapy tablet (AIT) treatment in North American subjects with ARC.
METHODS: Four hundred thirty-nine adults with grass pollen-induced ARC with or without asthma were randomized to once-daily 2,800 bioequivalent allergen units of standardized grass AIT (oral lyophilisate, Phleum pratense, 75,000 standardized quality tablet, containing approximately 15 μg of Phl p 5) or placebo approximately 16 weeks before the 2009 grass pollen season (GPS). The primary end point was the average total combined score of the daily symptom score and the daily medication score during the GPS. Rhinoconjunctivitis Quality of Life Questionnaire with standardized activities (RQLQ[S]) scores, Phl p 5-specific IgG4 levels, and IgE-blocking factor levels were additional end points. Adverse events (AEs) were monitored for safety.
RESULTS: Relative to placebo, grass AIT treatment improved total combined scores by 20% (P = .005), daily symptom scores by 18% (P = .02), and RQLQ(S) scores by 17% (P = .02). Daily medication scores were improved by 26% and trended toward significance (P = .08). Phl p 5-specific IgG4 and IgE-blocking factor levels were higher after grass AIT treatment compared with those after placebo at the end of the GPS (P < .001). Grass AIT treatment was safe and well tolerated. The majority of AEs were transient mild local reactions with no investigator-diagnosed grass AIT-related serious AEs or reports of anaphylactic shock/respiratory compromise. In the grass AIT group, 1 subject received epinephrine after experiencing a possible grade 1 systemic reaction (local site reactions, chest discomfort, and rash).
CONCLUSIONS: Timothy grass AIT treatment (cross-reactive with related Pooideae grasses) was demonstrated to be effective, generally safe, and well tolerated in North American adults with grass pollen-induced ARC.",1,PRIMARY,Participant Total Combined Symptom (TCS) Score Over the Entire Grass Pollen Season (GPS),"The TCS is the sum of the rhinoconjunctivitis daily symptom score (DSS) and rhinoconjunctivitis daily medication score (DMS) averaged over the entire GPS. The TCS ranged from 0-54, with increasing score indicating a higher level of symptom severity. The DSS is composed of 6 rhinoconjunctivitis symptoms with scores from 0-18, with increasing score indicating increased severity. The DMS is composed of a sum of the scores associated with rescue medication use per day. The range for the DMS was 0-36, with a lower score indicating less use of rescue medication.",SCH 697243,Placebo,Rapidly dissolving grass pollen allergen tablet administered sublingually once daily.,Rapidly dissolving matching placebo tablet administered sublingually once daily.,DRUG,DRUG,EXPERIMENTAL,PLACEBO_COMPARATOR,['=0.005'],['ANOVA'],['Superiority or Other'],2011-Jan-N/A
5457,NCT01069484,Postpartum Pelvic Floor Muscle Training is non-inferior or equivalent to Control in terms of Urinary Incontinence (Prevalence) 6 months postpartum (end of intervention),11192101,"The prevalence of pelvic floor disorders and their relationship to gender, age, parity and mode of delivery.","OBJECTIVE: To define the prevalence of pelvic floor disorders in a non-institutionalised community and to determine the relationship to gender, age, parity and mode of delivery.
DESIGN: A representative population survey using the 1998 South Australian Health Omnibus Survey.
SAMPLE: Random selection of 4400 households; 3010 interviews were conducted in the respondents' homes by trained female interviewers. This cross sectional survey included men and women aged 15-97 years.
RESULTS: The prevalence of all types of self-reported urinary incontinence in men was 4.4% and in women was 35.3% (P<0.001). Urinary incontinence was more commonly reported in nulliparous women than men and increased after pregnancy according to parity and age. The highest prevalence (51.9%) was reported in women aged 70-74 years. The prevalence of flatus and faecal incontinence was 6.8% and 2.3% in men and 10.9% and 3.5% in women, respectively. Pregnancy (> 20 weeks), regardless of the mode of delivery, greatly increased the prevalence of major pelvic floor dysfunction, defined as any type of incontinence, symptoms of prolapse or previous pelvic floor surgery. Multivariate logistic regression showed that, compared with nulliparity, pelvic floor dysfunction was significantly associated with caesarean section (OR 2.5, 95% CI 1.5-4.3), spontaneous vaginal delivery (OR 3.4, 95% CI 2.4-4.9) and at least one instrumental delivery (OR 4.3, 95% CI 2.8-6.6). The difference between caesarean and instrumental delivery was significant (P<0.03) but was not for caesarean and spontaneous delivery. Other associations with pelvic floor morbidity were age, body mass index, coughing, osteoporosis, arthritis and reduced quality of life scores. Symptoms of haemorrhoids also increased with age and parity and were reported in 19.9% of men and 30.2% of women.
CONCLUSION: Pelvic floor disorders are very common and are strongly associated with female gender, ageing, pregnancy, parity and instrumental delivery. Caesarean delivery is not associated with a significant reduction in long term pelvic floor morbidity compared with spontaneous vaginal delivery.",2,PRIMARY,Urinary Incontinence (Prevalence),"Urinary incontinence was assessed by The International Consultation on Incontinence Questionnaire Urinary Incontinence Short Form (ICIQ-UI Short Form questionnaire, www.iciq.net). Women were considered as incontinent if they reported to leak urine (yes/no) at any frequency.",Postpartum Pelvic Floor Muscle Training,Control,"Beyond the customary leaflet and the thorough initial instruction on how to contract correctly, the training group attended an exercise intervention for a period of 16 weeks (starting eight 8 weeks after delivery). Once a week the training participants attended a supervised exercise class led by an experienced physical therapist. The exercise class protocol is described in detail by Bø et al (1990) and Mørkved and Bø (1997). Additionally, the training group was prescribed to perform daily pelvic floor muscle training at home (three sets of 8-12 close to maximum contractions).

Training adherence at home was recorded in a training diary, whereas the physical therapist recorded group session adherence.","Beyond the customary leaflet (received from the postnatal ward) and the thorough initial instruction on how to contract correctly, the control group received no further intervention",OTHER,,EXPERIMENTAL,NO_INTERVENTION,['0.57'],['Mantel Haenszel'],['Non-Inferiority or Equivalence'],2000-Dec-N/A
5839,NCT00497055,"Aripiprazole is superior or other to Placebo in terms of To Measure the Acceptability of Aripiprazole and Placebo Among Methamphetamine-dependent Individuals, by Determining (Via Electronic Pill Caps [MEMS or Medication Event Monitoring System]) Medication Adherence to Aripiprazole and Placebo. Adherence as determined by MEMS (throughout study, up to 12 weeks)",23186131,"Aripiprazole for the treatment of methamphetamine dependence: a randomized, double-blind, placebo-controlled trial.","AIMS: To test aripiprazole for efficacy in decreasing use in methamphetamine-dependent adults, compared to placebo.
DESIGN: Participants were randomized to receive 12 weeks of aripiprazole or placebo, with a 3-month follow-up and a platform of weekly 30-minute substance abuse counseling.
SETTING: The trial was conducted from January 2009 to March 2012 at the San Francisco Department of Public Health.
PARTICIPANTS: Ninety actively using, methamphetamine-dependent, sexually active adults were recruited from community venues.
MEASUREMENTS: The primary outcome was regression estimated reductions in weekly methamphetamine-positive urines. Secondary outcomes were study medication adherence [by self-report and medication event monitoring systems (MEMS)], sexual risk behavior and abstinence from methamphetamine.
FINDINGS: Participant mean age was 38.7 years, 87.8% were male, 50.0% white, 18.9% African American, and 16.7% Latino. Eighty-three per cent of follow-up visits and final visits were completed. By intent-to-treat, participants assigned to aripiprazole had similar reductions in methamphetamine-positive urines as participants assigned to placebo [risk ratio (RR) 0.88, 95% confidence interval (CI): 0.66-1.19, P = 0.41]. Urine positivity declined from 73% (33 of 45 participants) to 45% (18 of 40) in the placebo arm and from 77% (34 of 44) to 44% (20 of 35) in the aripiprazole arm. Adherence by MEMS and self-report was 42 and 74%, respectively, with no significant difference between arms (MEMS P = 0.31; self-report P = 0.17). Most sexual risk behaviors declined similarly among participants in both arms (all P > 0.05). There were no serious adverse events related to study drug, although participants randomized to aripiprazole reported more akathisia, fatigue and drowsiness (P < 0.05).
CONCLUSION: Compared with placebo, aripiprazole did not reduce methamphetamine use significantly among actively using, dependent adults.",0,PRIMARY,"To Measure the Acceptability of Aripiprazole and Placebo Among Methamphetamine-dependent Individuals, by Determining (Via Electronic Pill Caps [MEMS or Medication Event Monitoring System]) Medication Adherence to Aripiprazole and Placebo.","To measure the acceptability of aripiprazole and placebo among methamphetamine-dependent individuals, by determining (via electronic pill caps \[MEMS or Medication Event Monitoring System\]) medication adherence to aripiprazole and placebo. (Percent adherence from MEMS is determined by 100\* the number of days where MEMS registered an opening out of the number of days a dose was prescribed for each arm.)",Aripiprazole,Placebo,aripiprazole daily for 3 months,placebo daily for 3 months,DRUG,DRUG,EXPERIMENTAL,PLACEBO_COMPARATOR,['0.31'],['Wilcoxon (Mann-Whitney)'],['Superiority or Other'],2013-Apr-N/A
3635,NCT02585258,Prednisolone is superior to Placebo in terms of The Total Number of Patients Experiencing at Least One Adverse Event (AE) of Special Interest (AESI) 24 months,29370811,"Harm, benefit and costs associated with low-dose glucocorticoids added to the treatment strategies for rheumatoid arthritis in elderly patients (GLORIA trial): study protocol for a randomised controlled trial.","BACKGROUND: Rheumatoid arthritis (RA) is a chronic inflammatory disease of the joints affecting 1% of the world population. It has major impact on patients through disability and associated comorbidities. Current treatment strategies have considerably improved the prognosis, but recent innovations (especially biologic drugs and the new class of so-called ""JAK/STAT inhibitors"") have important safety issues and are very costly. Glucocorticoids (GCs) are highly effective in RA, and could reduce the need for expensive treatment with biologic agents. However, despite more than 65 years of clinical experience, there is a lack of studies large enough to adequately document the benefit/harm balance. The result is inappropriate treatment strategies, i.e. both under-use and over-use of GCs, and consequently suboptimal treatment of RA.
METHODS: The GLORIA study is a pragmatic multicentre, 2-year, randomised, double-blind, clinical trial to assess the safety and effectiveness of a daily dose of 5 mg prednisolone or matching placebo added to standard of care in elderly patients with RA. Eligible participants are diagnosed with RA, have inadequate disease control (disease activity score, DAS28 ≥ 2.6), and are ≥ 65 years. The primary outcome measures are the time-averaged mean value of the DAS28 and the occurrence of serious adverse events or adverse events of special interest. During the trial, change in antirheumatic therapy is permitted as clinically indicated, except for GCs. Cost-effectiveness and cost-utility are secondary outcomes. The main challenge is the interpretation of the trial result with two primary endpoints and the pragmatic trial design that allows co-interventions. Another challenge is the definition of safety and the relative lack of power to detect differences between treatment groups. We have chosen to define safety as the number of patients experiencing at least one serious adverse event. We also specify a decision tree to guide our conclusion on the balance of benefit and harm, and our methodology to combat potential confounding caused by co-interventions.
DISCUSSION: Pragmatic trials minimise impact on daily practice and maximise clinical relevance of the results, but analysis and interpretation of the results is challenging. We expect that the results of this trial are of importance for all rheumatologists who treat elderly patients with RA.
TRIAL REGISTRATION: ClinicalTrials.gov, NCT02585258 . Registered on 20 October 2015.",2,PRIMARY,The Total Number of Patients Experiencing at Least One Adverse Event (AE) of Special Interest (AESI),"AESI: (a serious adverse event \[SAE\], or an AE on a prespecified list of clinically relevant AEs commonly associated with the disease and glucocorticoid use",Prednisolone,Placebo,"prednisolone 5 mg per day

Prednisolone: capsules 5 mg / day","placebo capsules once per day

Placebo: capsules 1 / day",DRUG,DRUG,EXPERIMENTAL,PLACEBO_COMPARATOR,['0.02'],['GEE'],['Superiority'],2018-Jan-25
9454,NCT01093651,DPPIV Inhibition is superior or other to Placebo in terms of CD4+ T-cell Count Monthly for 4 months,23264399,Dipeptidyl peptidase IV inhibition does not adversely affect immune or virological status in HIV infected men and women: a pilot safety study.,"CONTEXT: People infected with HIV have a higher risk for developing insulin resistance, diabetes, and cardiovascular disease than the general population. Dipeptidyl peptidase IV (DPP4) inhibitors are glucose-lowering medications with pleiotropic actions that may particularly benefit people with HIV, but the immune and virological safety of DPP4 inhibition in HIV is unknown.
OBJECTIVE: DPP4 inhibition will not reduce CD4+ T lymphocyte number or increase HIV viremia in HIV-positive adults.
DESIGN: This was a randomized, placebo-controlled, double-blind safety trial of sitagliptin in HIV-positive adults.
SETTING: The study was conducted at an academic medical center.
PARTICIPANTS: Twenty nondiabetic HIV-positive men and women (9.8 ± 5.5 years of known HIV) taking antiretroviral therapy and with stable immune (625 ± 134 CD4+ T cells per microliter) and virological (<48 copies HIV RNA per milliliter) status.
INTERVENTION: The intervention included sitagliptin (100 mg/d) vs matching placebo for up to 24 weeks.
MAIN OUTCOME MEASURES: CD4+ T cell number and plasma HIV RNA were measured every 4 weeks; fasting serum regulated upon activation normal T-cell expressed and secreted (RANTES), stromal derived factor (SDF)-1α, Soluble TNF receptor II, and oral glucose tolerance were measured at baseline, week 8, and the end of study. ANOVA was used for between-group comparisons; P < .05 was considered significant.
RESULTS: Compared with placebo, sitagliptin did not reduce CD4+ T cell count, plasma HIV RNA remained less than 48 copies/mL, RANTES and soluble TNF receptor II concentrations did not increase. SDF1α concentrations declined (P < .0002) in the sitagliptin group. The oral glucose tolerance levels improved in the sitagliptin group at week 8.
CONCLUSIONS: Despite lowering SDF1α levels, sitagliptin did not adversely affect immune or virological status, or increase immune activation, but did improve glycemia in healthy, nondiabetic HIV-positive adults. These safety data allow future efficacy studies of sitagliptin in HIV-positive people with cardiometabolic complications.",0,PRIMARY,CD4+ T-cell Count,No Description Available,DPPIV Inhibition,Placebo,"Four months of sitagliptin administration (100mg/d) to people living with HIV-1 who have well-controlled immunologic (CD4+ T-cell count \>350 cells/µL) and virologic (plasma HIV RNA \<50 copies/mL) status.

Sitagliptin : 100 mg sitagliptin daily for 4 months","Four months of placebo to people living with HIV-1 who have well-controlled immunologic (CD4+ T-cell count \>350 cells/µL) and virologic (plasma HIV RNA \<50 copies/mL) status.

Placebo : Daily placebo for 4 months",DRUG,DRUG,EXPERIMENTAL,PLACEBO_COMPARATOR,['>0.05'],['Mixed Models Analysis'],['Superiority or Other'],2013-Feb-N/A
7948,NCT00402363,"Paroxysmal AF, P-OM3 is superior or other to Paroxysmal AF, Placebo in terms of Number of Participants With Paroxysmal AF With an Event of Documented Symptomatic Atrial Fibrillation (AF)/Flutter From first dose of study drug (Day 1) to the first symptomatic recurrence of AF/flutter (up to Week 24)",21078810,Efficacy and safety of prescription omega-3 fatty acids for the prevention of recurrent symptomatic atrial fibrillation: a randomized controlled trial.,"CONTEXT: Atrial fibrillation (AF) is common, yet there remains an unmet medical need for additional treatment options. Current pharmacological treatments have limited efficacy and significant adverse events. Limited data from small trials suggest omega-3 polyunsaturated fatty acids may provide a safe, effective treatment option for AF patients.
OBJECTIVE: To evaluate the safety and efficacy of prescription omega-3 fatty acids (prescription omega-3) for the prevention of recurrent symptomatic AF.
DESIGN, SETTING, AND PARTICIPANTS: Prospective, randomized, double-blind, placebo-controlled, parallel-group multicenter trial involving 663 US outpatient participants with confirmed symptomatic paroxysmal (n = 542) or persistent (n = 121) AF, with no substantial structural heart disease, and in normal sinus rhythm at baseline were recruited from November 2006 to July 2009 (final follow-up was January 2010).
INTERVENTIONS: Prescription omega-3 (8 g/d) or placebo for the first 7 days; prescription omega-3 (4 g/d) or placebo thereafter through week 24.
MAIN OUTCOME MEASURES: The primary end point was symptomatic recurrence of AF (first recurrence) in participants with paroxysmal AF. Secondary analyses included first recurrence in the persistent stratum and both strata combined. Participants were followed up for 6 months.
RESULTS: At 24 weeks, in the paroxysmal AF stratum, 129 of 269 participants (48%) in the placebo group and 135 of 258 participants (52%) in the prescription group had a recurrent symptomatic AF or flutter event. In the persistent AF stratum, 18 participants (33%) in the placebo group and 32 (50%) in the prescription group had documented symptomatic AF or flutter events. There was no difference between treatment groups for recurrence of symptomatic AF in the paroxysmal stratum (hazard ratio [HR], 1.15; 95% confidence interval [CI], 0.90-1.46; P = .26), in the persistent stratum (HR, 1.64; 95% CI, 0.92-2.92; P = .09), and both strata combined (HR, 1.22; 95% CI, 0.98-1.52; P = .08). Other, secondary end points were supportive of the primary result. A total of 5% of those receiving placebo and 4% of those receiving prescription omega-3 discontinued due to adverse events. Eicosapentaenoic and docosahexaenoic acid blood levels were significantly higher in the prescription group than in the placebo group at weeks 4 and 24.
CONCLUSION: Among participants with paroxysmal AF, 24-week treatment with prescription omega-3 compared with placebo did not reduce recurrent AF over 6 months.
TRIAL REGISTRATION: clinicaltrials.gov Identifier: NCT00402363.",0,PRIMARY,Number of Participants With Paroxysmal AF With an Event of Documented Symptomatic Atrial Fibrillation (AF)/Flutter,"A documented episode of symptomatic AF /Flutter was defined as AF/Flutter documented by an electrocardiogram (ECG) or transtelephonic monitoring (TTM) tracing associated with symptoms consistent with AF. Atrial flutter, a closely related rhythm disorder, was distinguished from AF by the presence of distinctive flutter p-waves at regluar intervals. The occurrence of symptomatic atrial flutter was treated as an occurrence of symptomatic AF for this outcome measure. ""Censored"" in the table below refers to participants who did not have a documented episode of symptomatic AF or flutter.","Paroxysmal AF, P-OM3","Paroxysmal AF, Placebo","Participants with paroxysmal atrial fibrillation (AF) receiving P-OM3, 8 g per day for the first 7 days; 4 g per day thereafter through Week 24",Participants with paroxysmal AF receiving matching placebo,DRUG,DRUG,EXPERIMENTAL,PLACEBO_COMPARATOR,['0.263'],"['Regression, Cox']",['Superiority or Other'],2010-Dec-01
